url,title,descr
,В Израиле разгорается скандал по поводу билетов на «Евровидение»,"Как сообщает телерадиокорпорация «Кан», организаторы заподозрили, что лучшие места в зале были проданы высокопоставленным представителям медиа— и спортивных структур «по блату»..."
,На парламентских выборах в Эстонии победила крупнейшая оппозиционная партия Реформ,"По итогам электронного голосования, у нее 40% голосов…"
,"Полиция задержала хулиганов, которые пытались разрисовать здание штаба Навального в Петербурге",Видео задержания опубликовано в группе команды политика в соцсети…
,"Иерерха Православной церкви Украины архиепископа Климента, задержанного в Симферополе, отпустили из полиции","Как сообщил адвокат Николай Полозов, — без составления протокола…"
,Лидер Венесуэльской оппозиции Хуан Гуайдо в понедельник возвращается в Венесуэлу,Он подтвердил это у себя в Твиттере…
,В Эстонии час назад завершились выборы в парламент,В борьбе за мандаты в 101-местном законодательном органе участвовали 10 партий и 15 независимых кандидатов…
,В Крыму был дважды задержан иерарх новообразованной Православной церкви Украины Климент,"Архиепископ планировал посетить в Ростове-на-Дону украинского гражданина Павла Гриба, обвиняемого в России в пособничестве терроризму…"
,Лидер венесуэльской оппозиции Хуан Гуайдо в понедельник возвращается в Венесуэлу,Он подтвердил это у себя в Твиттере…
,Матч 1/4 финала Олимп-Кубка России по футболу между тульским 'Арсеналом' и 'Оренбургом' пройдет на 'Арене Химки',Встреча состоится 6 марта…
,Три человека погибли в ДТП в Буйнакском районе Дагестана,"Легковой автомобиль столкнулся с фурой, которая стояла на обочине…"
,В аэропорту Волгограда задержан авиадебошир,"Он устроил на борту самолета, прилетевшего из Москвы, драку с другим пассажиром…"
,США стремятся создать коалицию для смены власти в Венесуэле,Это подтвердил советник президента США по нацбезопасности Джон Болтон…
,Почти 2000 жителей Пскова собрались на митинг 'За чистый воздух',Именно столько подписей было собрано на акции против строительства химического завода вблизи города…
,Начальник российского Генштаба в понедельник встретится в Вене с председателем Комитета начальников штабов США,Соответствующее сообщение распространила американская сторона…
,"Суд города Пусан продлил срок содержания под стражей капитану российского судна Seagrand, врезавшегося в мост",Об этом сообщил консул РФ в Пусане Роман Быков…
,Посольство России в Лондоне потребовало официальных извинений за клевету от издания The Mail on Sunday,"В Дипмиссии сочли ложной публикацию в газете о том, что посол Александр Яковенко работает на российские спецслужбы…"
,Московское 'Динамо' обыграло хельсинкский 'Йокерит' со счетом 3:0 в четвертом матче серии первого раунда плей-офф КХЛ,Встреча прошла в Москве…
,"В 35 департаментах Франции объявлен предпоследний, 'оранжевый' уровень тревоги из-за сильного ветра",Штормовое предупреждение распространяется и на Париж…
,При сегодняшней стыковке корабля Crew Dragon с МКС на российском сегменте станции прозвучал сигнал тревоги,Трансляция переговоров экипажа велась на сайте НАСА…
,Начальник российского Генштаба в понедельник встретится в Вене с председателем Комитета начальников штабов США,Повестка переговоров не уточняется…
,Лидер венесуэльской оппозиции Хуан Гуайдо призвал своих сторонников выйти в понедельник на очередные акции протеста,У себя в Твиттере он просит внимательно следить за информацией в соцсетях о точках сбора…
,В США бывший читатель Публичной библиотеки округа Кайахога вернул журнал Life 1968 года с The Beatles на обложке,"Читатель принес извинения и объяснил, что украл журнал, когда был ребенком…"
,Официальный представитель ФК 'Спартак' Леонид Трахтенберг уходит с этого поста,"В эфире телеканала «Матч ТВ» он выразил надежду, что в клубе его поймут и пойдут навстречу…"
,Ил-62 ВВС России накануне вылетел из Москвы в Каракас и уже сегодня проследовал в обратном направлении,Об этом сообщает издание Тhe Веll со ссылкой на сайт Флай Радар…
,Лидер венесуэльской оппозиции Хуан Гуайдо призвал своих сторонников выйти в понедельник на очередные акции протеста,У себя в Твиттере он просит внимательно следить за информацией в соцсетях о точках сбора…
,Архиепископа Крымской епархии ПЦУ обвиняют в нецензурной брани при досмотре на вокзале – адвокат,Об этом сообщил в эфире радиостанции «Эхо Москвы» его адвокат Николай Полозов…
,Сегодня тремя матчами завершается 18 тур чемпионата России по футболу,Открывали программу игрового дня в Уфе местные футболисты и столичное «Динамо»...
,Петербургские коммунисты рекомендовали кандидатуру режиссёра Владимира Бортко на пост губернатора города,Теперь это предложение должны согласовать в Москве…
,Против Браудера в России действительно возбуждено дело об убийстве году российского бизнесмена Перепеличного,Это подтвердил адвокат основателя фонда Hermitage Capital Александр Антипов…
,Лидер венесуэльской оппозиции Хуан Гуайдо намерен вернуться в страну завтра во второй половине дня,Об этом он сообщает у себя в Твиттере…
,Посол России в Лондоне Александр Яковенко ожидает официальных извинений за клевету от газеты Mail on Sunday,Письмо главному редактору на этот счет уже отправлено…
,США стремятся создать коалицию для смены власти в Венесуэле,Это подтвердил советник президента США по нацбезопасности Джон Болтон…
,"На архиепископа Православной церкви Украины Климента, задержанного в Симферополе, составляют протокол о хулиганстве",Якобы – за нецензурную брань…
,Посол России в Лондоне Александр Яковенко ожидает официальных извинений за клевету от газеты Mail on Sunday,"Издание утверждало, что Яковенко причастен к работе на российские спецслужбы еще с советских времен…"
,"Экипаж МКС приступил к разгрузке продовольствия, которое доставил частный американский корабль Crew Dragon",Чуть ранее он впервые совершил стыковку в полностью автоматическом режиме…
,В Эстонии продолжаются парламентские выборы,В них участвуют 10 партий и 15 независимых кандидатов…
,В Москве начались работы по масштабной реконструкции главной арены спорткомплекса «Олимпийский»,Телеканал «Москва-24» в своем сюжете ранее сообщил о стартовавшем сносе здания спорткомплекса…
,Писателя Романа Арбитмана вызвали в полицию из-за его участия в митинге за отставку губернатора Саратовской области,"«Явились двое вежливых людей в погонах и вручили повестку на завтра», — рассказал Роман Арбитман…"
,The Mail on Sunday: Посол России в Лондоне Александр Яковенко причастен к работе спецслужб еще с советских времен,"Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
,Писатель Арбитман получил повестку в полицию из-за участия в митинге за отставку губернатора в Саратове,Об этом он сообщил в эфире радиостанции «Эхо Москвы»...
,Илон Маск ответил в Твиттере по-русски на поздравления с успешной стыковкой корабля Crew Dragon с МКС,"«Спасибо за добрые слова», — написал он, отвечая на поздравления одного из пользователей…"
,"Лидер венесуэльской оппозиции Хуан Гуайдо будет задержан, если попытается вернуться в страну",Об этом ТАСС заявил губернатор штата Варгас…
,Суд южнокорейского Пусана продлил срок Задержания капитану российского судна 'Сигранд',Корабль 28 февраля врезался в мост в порту…
,Британское Минобороны выделило дополнительно 11 миллионов фунтов на борьбу с угрозой применения химоружия,Соответствующее заявление военное ведомство распространило в канун годовщины отравления в Солсбери Сергея и Юлии Скрипалей…
,Писателя Романа Арбитмана вызывают в полицию Саратова,Повестку ему вручили на завтра…
,В Симферополе задержали архиепископа Православной церкви Украины Климента,"По сведениям ОВД Инфо, это произошло на автовокзале, откуда священнослужитель собирался ехать в Ростов-на-Дону…"
,Постановление СК о возбуждении уголовного дела в отношении Браудера абсурдно – адвокат,Такое мнение высказал в эфире радиостанции «Эхо Москвы» адвокат основателя британского фонда Hermitage Capital Уильяма Браудера Александр Антипов…
,Чемпионат мира по лыжным видам спорта завершается сегодня в Австрии по традиции мужским марафоном,"Еще на первой половине дистанции в отрыв, причем в одиночку, ушел норвежец Ханс Кристофер Холланд…"
,Принадлежащую 'Русалу' горнодобывающую компанию в Гайане могут закрыть из-за увольнений бастовавших сотрудников,Об этом объявили власти южноамериканского государства…
,"В МВД отрицают угрозы в адрес полицейских, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко","В ведомстве заверили, что никого из них не уволили…"
,The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом спецслужб еще с советских времен,"Официальный представитель МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
,"МВД опровергло слухи о наказании сотрудников, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко",Полицейские действовали в рамках законодательства и после этого им никто не угрожал…
,Частный космический корабль Crew Dragon успешно пристыковался к МКС в автоматическом режиме,Запуск Crew Dragon состоялся 2 марта с космодрома во Флориде…
