Лидер венесуэльской оппозиции намерен вернуться на родину в ближайшие два дня,"Как ожидается, Хуан Гуайдо объявит новые акции протеста против власти Николаса Мадуро…"
Посол России в Лондоне Александр Яковенко ожидает официальных извинений за клевету от газеты 'Мэйл он санди',Письмо главному редактору на этот счет уже отправлено…
Сегодня исполняется год со дня отравления в Солсбери Сергея и Юлии Скрипалей,Виновные к ответственности не привлечены…
"Пассажирский самолет, по некоторым данным, выкатился за пределы взлетно-посадочной полосы в аэропорту Пулково",Лайнер «Узбекских авиалиний» прилетел из Ташкента
Выборы в эстонский парламент состоятся сегодня,"От них не ожидается каких-либо резких перемен в стране, — сказал «Эху Москвы» старший научный сотрудник Центра европейских исследований Института мировой экономики и международных отношений РАН Владимир Оленченко…"
В Берлине прошла демонстрация против реформы авторского права в Евросоюзе,На акцию пришли 3500 человек…
Акция с требованием прекратить уголовное преследование фигурантов «Нового величия» прошла возле м.Третьяковская,Люди держали плакаты с резкой критикой ФСБ и поддержкой обвиняемых в создании экстремистского сообщества и участии в нём…
Следователи проводят проверку после сообщений о нападении охранника супермаркета на двух подростков в Москве,"Как говорится на сайте Главного следственного управления СК по столице, после этого будет решаться вопрос о возбуждении дела…"
В московском Зюзине пройдет митинг за сохранение роддома №10,"Это единственный центр планирования семьи на несколько районов, но власти хотят его закрыть…"
Бывший глава Коми Вячеслав Гайзер подал в суд на еженедельник 'Аргументы и Факты',"Поводом стала статья, которая появилась год назад…"
Верховный суд Кабардино-Балкарии отменил приговор 70-летнему члену «Свидетелей Иеговы»* Аркадю Акопяну,"Член организации, которая признана в России судом экстремистской и запрещена, был осужден по статье о возбуждении религиозной ненависти либо вражды…"
Информация об угрозе взрыва в деловом комплексе «Москва-Сити» не подтвердилась,"Территорию на Краснопресненской набережной проверили сотрудники экстренных служб, в том числе кинологи. Взрывное устройство не обнаружено…"
"Основатель фонда Hermitage Capital Уильям Браудер утверждает, что в России ему предъявлено новое обвинение",Следственный комитет считает финансиста причастным к убийству российского бизнесмена Александра Перепиличного…
"Адвоката Галину Музыку, чей подзащитный обвинил полицейских в избиении, нашли мертвой в Иркутской области","Как рассказал интернет-изданию «Медиазона» член региональной Общественной наблюдательной комиссии Павел Глущенко, женщина должна была взять объяснение у своего подзащитного Михаила Загвоздина…"
Фанаты Спартака устроили драку на хоккейном матче,Участников довольно быстро вывели с трибун…
Зимняя универсиада стартовала в Красноярске,"Это значительное мероприятие, и стоит многого ожидать от российской команды, — сказал спортивный обозреватель Александр Боярский…"
Власти Запорожья намерены вернуть на родину останки Нестора Махно,По некоторым данным договорённость с его родственником достигнута…
Трое детей госпитализированы после аварии школьного автобуса под Тулой,"Ранее сообщалось о восьми школьниках и двух взрослых, которые получили травмы…"
Троих задержанных на народном сходе в поддержку аспиранта МГУ Азата Мифтахова оставляют до понедельника в полиции,Их обвиняют в повторном нарушении правил проведения публичного мероприятия…
Боец смешанных единоборств Александр Емельяненко получил десять суток ареста,Накануне его задержали за рулем в нетрезвом состоянии…
Похороны известного ученого Жореса Алферова пройдут по церемониалу для почетных граждан Санкт-Петербурга,Это звание ему присвоили еще в 2001 году…
Прощание с нобелевским лауреатом по физике Жоресом Алферовым пройдет во вторник в Санкт-Петербурге,Гражданская панихида запланирована в Научном центре Академии наук…
Прах Нестора Махно могут перевезти из Франции на Украину,Уже есть договоренности с внучатым племянником известного политического и военного деятеля периода революции и гражданской войны…
"Отказ от разоружения может привести мир к катастрофе, считает бывший президент СССР Михаил Горбачев","Он обратил внимание на то, что договоры, которые ограничивали гонку вооружения, сейчас перестают действовать…"
"Кудрин: Электронными базами российских министерств тяжело пользоваться, хотя на них ежегодно тратят 100 млрд рублей","В большинстве случаев это очень слабые базы данных, недостоверные, необновляемые, отметил он…"
В Греции по запросу Украины задержан российский гражданин,Евгений Калинин несколько лет назад работал вице-президентом в одной из нефтяных компаний на территории Украины…
На 10 суток арестован боец смешанных единоборств Александр Емельяненко,Суд в Кисловодске признал его виновным в неповиновении сотруднику полиции…
Российская прыгунья в высоту Мария Ласицкене победила на чемпионате Европы по легкой атлетике в помещении.,"На турнире в Глазго, выступающая в нейтральном статусе, 26-летняя спортсменка показала результат 2,01 метра."
Досрочные выборы мэра польского Гданьска выиграла Александра Дулкевич.,"б этом свидетельствуют опросы на выходе с избирательных участков. Ранее Дулкевич работала заместителем прежнего мэра Павла Адамовича, который был убит в середине января."
В Израиле разгорается скандал по поводу билетов на «Евровидение»,"Как сообщает телерадиокорпорация «Кан», организаторы заподозрили, что лучшие места в зале были проданы высокопоставленным представителям медиа— и спортивных структур «по блату»..."
На парламентских выборах в Эстонии победила крупнейшая оппозиционная партия Реформ,"По итогам электронного голосования, у нее 40% голосов…"
"Полиция задержала хулиганов, которые пытались разрисовать здание штаба Навального в Петербурге",Видео задержания опубликовано в группе команды политика в соцсети…
"Иерерха Православной церкви Украины архиепископа Климента, задержанного в Симферополе, отпустили из полиции","Как сообщил адвокат Николай Полозов, — без составления протокола…"
